vendor_id, pickup_datetime, dropoff_datetime, passenger_count, trip_distance, pickup_longitude, pickup_latitude, rate_code, store_and_fwd_flag, dropoff_longitude, dropoff_latitude, payment_type, fare_amount, surcharge, mta_tax, tip_amount, tolls_amount, total_amount

CMT,2014-04-08 08:59:39,2014-04-08 09:28:57,1,2.5,-73.958848000000003,40.763584999999999,1,N,-73.986283999999998,40.752034000000002,CRD,18,0,0.5,3.7000000000000002,0,22.199999999999999
CMT,2014-04-08 14:59:22,2014-04-08 15:04:52,1,0.90000000000000002,0,0,1,N,0,0,CRD,6,0,0.5,1.3,0,7.7999999999999998
CMT,2014-04-08 08:45:28,2014-04-08 08:50:41,2,0.59999999999999998,-73.992232999999999,40.729135999999997,1,N,-73.991387000000003,40.735185999999999,CRD,5.5,0,0.5,1.2,0,7.2000000000000002
CMT,2014-04-08 08:00:20,2014-04-08 08:11:31,2,0.5,-73.973725999999999,40.750095000000002,1,N,-73.976889,40.755623,CRD,8,0,0.5,1.7,0,10.199999999999999
CMT,2014-04-08 08:38:36,2014-04-08 08:44:37,1,0.40000000000000002,-73.973501999999996,40.755479000000001,1,Y,-73.979197999999997,40.758619000000003,CRD,5.5,0,0.5,1.2,0,7.2000000000000002
CMT,2014-04-08 07:52:53,2014-04-08 07:59:12,1,0.80000000000000004,-73.963002000000003,40.766354999999997,1,N,-73.953767999999997,40.778865000000003,CRD,6,0,0.5,1.3,0,7.7999999999999998
CMT,2014-04-08 16:08:16,2014-04-08 16:12:38,1,1,-73.989555999999993,40.741782999999998,1,N,-74.002437999999998,40.739806999999999,CRD,5.5,1,0.5,1.3999999999999999,0,8.4000000000000004
CMT,2014-04-08 12:04:09,2014-04-08 12:14:30,1,1,-73.975847999999999,40.757125000000002,1,N,-73.972513000000006,40.750821999999999,CRD,8,0,0.5,1.7,0,10.199999999999999
CMT,2014-04-08 16:18:38,2014-04-08 16:37:04,1,2.8999999999999999,-74.004322000000002,40.725582000000003,1,N,-73.976799,40.758220999999999,CRD,13.5,1,0.5,2.5,0,17.5
CMT,2014-04-08 15:28:00,2014-04-08 15:34:44,2,1,-74.001238000000001,40.736739,1,N,-74.003390999999993,40.727086,CRD,6.5,0,0.5,1.3999999999999999,0,8.4000000000000004
CMT,2014-04-08 09:34:20,2014-04-08 09:37:40,1,0.69999999999999996,-74.001050000000006,40.746862999999998,1,N,-73.993336999999997,40.745292999999997,CRD,4.5,0,0.5,1,0,6
CMT,2014-04-08 11:16:56,2014-04-08 11:27:42,1,1,-73.980434000000002,40.760285000000003,1,N,-73.968036999999995,40.753411999999997,CRD,8,0,0.5,1.7,0,10.199999999999999
CMT,2014-04-08 09:44:05,2014-04-08 09:57:44,1,0.80000000000000004,-73.983355000000003,40.766663999999999,1,N,-73.971226999999999,40.761000000000003,CRD,9.5,0,0.5,1.8799999999999999,0,11.880000000000001
CMT,2014-04-08 11:37:07,2014-04-08 11:58:01,1,1.5,-73.988110000000006,40.745944999999999,1,N,-73.975562999999994,40.762515,CRD,13.5,0,0.5,2.7999999999999998,0,16.800000000000001
CMT,2014-04-08 14:51:19,2014-04-08 14:58:59,1,0.90000000000000002,-73.998587999999998,40.724930000000001,1,N,-73.987772000000007,40.721480999999997,CRD,6.5,0,0.5,1.3999999999999999,0,8.4000000000000004
CMT,2014-04-08 09:50:20,2014-04-08 10:06:19,1,0.90000000000000002,-74.016255000000001,40.711362000000001,1,Y,-74.008121000000003,40.712249999999997,CRD,10.5,0,0.5,2.75,0,13.75
CMT,2014-04-08 07:55:30,2014-04-08 08:10:36,1,3.7999999999999998,-73.987217000000001,40.769016000000001,1,N,-74.001983999999993,40.719285999999997,CRD,14,0,0.5,3.6200000000000001,0,18.120000000000001
CMT,2014-04-08 22:46:49,2014-04-08 22:52:03,1,1.3999999999999999,-74.000733999999994,40.727246000000001,1,N,-73.986296999999993,40.737786,CRD,6.5,0.5,0.5,1,0,8.5
CMT,2014-04-08 13:30:20,2014-04-08 13:37:07,2,1.3,-74.005436000000003,40.727718000000003,1,N,-73.994883000000002,40.740017000000002,CRD,6.5,0,0.5,1,0,8
CMT,2014-04-08 08:13:19,2014-04-08 08:26:53,2,2.2999999999999998,-73.978093000000001,40.783833000000001,1,N,-73.960350000000005,40.763122000000003,CRD,11,0,0.5,2.2999999999999998,0,13.800000000000001
CMT,2014-04-08 15:41:05,2014-04-08 15:55:36,2,1.8999999999999999,-73.971886999999995,40.760247,1,N,-73.990844999999993,40.739815999999998,CRD,11,0,0.5,2.2999999999999998,0,13.800000000000001
CMT,2014-04-08 10:13:16,2014-04-08 10:18:34,1,0.59999999999999998,-73.985258999999999,40.739454000000002,1,N,-73.995182,40.743974999999999,CRD,5.5,0,0.5,1.2,0,7.2000000000000002
CMT,2014-04-08 14:29:12,2014-04-08 14:33:20,1,0.59999999999999998,-73.990390000000005,40.731513,1,N,-73.982397000000006,40.731450000000002,CRD,4.5,0,0.5,1,0,6
